title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
The Last Kingdom,2015,60,TV Show,United Kingdom,English,8.4,91604,2020,adult,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Queen's Gambit,2020,395,TV Show,United States,French,8.6,319900,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Girl,2011,22,TV Show,United States,English,7.7,197687,2018,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pose,2018,60,TV Show,United States,English,8.6,21754,2019,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Witcher,2019,60,TV Show,Poland,English,8.2,320233,2019,adult,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Community,2009,22,TV Show,United States,English,8.5,226954,2015,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim's Convenience,2016,22,TV Show,Canada,English,8.2,10758,2021,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgerton,2020,60,TV Show,United States,English,7.3,80027,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gilmore Girls,2000,44,TV Show,United States,English,8.1,104841,2006,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suits,2011,44,TV Show,United States,English,8.4,371003,2018,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark,2017,60,TV Show,Germany,German,8.8,304265,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
