title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Paranormal,2020,45,TV Show,Egypt,English,8.5,68671,2020,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Kipo and the Age of Wonderbeasts,2020,24,TV Show,United States,English,8.4,3711,2020,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlo the Alligator Boy,2021,90,Movie,United States,English,6.7,668,2021,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Close,2019,94,Movie,United Kingdom,Arabic,5.7,22256,2019,adult,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soundtrack,2019,56,TV Show,United States,English,6.8,1844,2019,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sick Note,2017,30,TV Show,United Kingdom,English,6.8,6324,2018,adult,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To All the Boys: P.S. I Still Love You,2020,101,Movie,United States,English,6.0,31232,2020,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dorohedoro,2020,25,TV Show,Japan,Japanese,8.2,5704,2020,adult,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Z,2020,37,TV Show,Mexico,Spanish,6.9,5240,2021,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Innocents,2018,60,TV Show,United Kingdom,English,6.3,5345,2018,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Marianne,2019,50,TV Show,France,French,7.5,12495,2019,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Discovery,2017,102,Movie,United States,English,6.3,30791,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Let It Snow,2019,92,Movie,United States,English,5.8,18657,2019,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Monty Python's Flying Circus,1969,30,TV Show,United Kingdom,English,8.8,68701,1974,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Get Me,2017,89,Movie,United States,English,4.7,11927,2017,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mystery Science Theater 3000,1988,92,TV Show,United States,English,8.5,23205,1999,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ibiza,2018,94,Movie,United States,English,5.2,16131,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Great News,2017,22,TV Show,United States,English,7.1,5748,2017,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voltron: Legendary Defender,2016,23,TV Show,United States,English,8.1,7890,2018,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kindergarten Teacher,2018,96,Movie,United States,English,6.7,13595,2018,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hilda,2018,24,TV Show,United Kingdom,English,8.6,7696,2021,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Crackers,2017,105,Movie,China,English,5.8,2742,2020,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Worst Witch,2017,30,TV Show,United Kingdom,English,7.3,2011,2020,children,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The New Legends of Monkey,2018,24,TV Show,Australia,English,6.5,3787,2020,children,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperados,2020,105,Movie,United States,English,5.2,9090,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Death to 2020,2020,70,Movie,United States,English,6.8,34145,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Boss Baby: Back in Business,2018,25,TV Show,United States,English,6.5,2651,2020,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raat Akeli Hai,2020,149,Movie,India,Hindi,7.3,15713,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Love & Anarchy,2020,30,TV Show,Sweden,Swedish,7.4,6492,2020,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DC Super Hero Girls,2019,11,TV Show,United States,English,7.1,867,2019,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disjointed,2017,30,TV Show,United States,Mandarin,6.8,9172,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Dark Times,2017,103,Movie,United States,English,6.6,20537,2017,adult,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otherhood,2019,100,Movie,United Kingdom,English,6.1,9897,2019,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Article 15,2019,130,Movie,India,Hindi,8.2,25580,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Great Pretender,2020,23,TV Show,Japan,Japanese,8.0,3088,2020,adult,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandy Wexler,2017,130,Movie,United States,English,5.2,15341,2017,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheelman,2017,82,Movie,United States,English,6.4,18348,2017,adult,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Babysitter's Guide to Monster Hunting,2020,98,Movie,United States,English,5.4,3270,2020,children,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
First They Killed My Father,2017,136,Movie,Cambodia,Central Khmer,7.2,16539,2017,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Somewhere Between,2017,41,TV Show,United States,English,6.2,5006,2017,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Malevolent,2018,89,Movie,United Kingdom,English,4.8,11293,2018,adult,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Wasp Network,2019,127,Movie,France,English,5.9,8851,2020,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARQ,2016,88,Movie,Canada,English,6.4,36198,2016,adult,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
What Keeps You Alive,2018,98,Movie,Canada,English,5.7,7225,2018,adult,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Paranoid,2016,45,TV Show,United Kingdom,English,6.7,7194,2016,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hache,2019,50,TV Show,Spain,Spanish,6.5,1295,2021,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vexed,2010,60,TV Show,United Kingdom,English,7.3,3185,2012,adult,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Liberator,2020,\N,TV Show,United States,English,7.6,5006,2020,adult,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Strangelove,2018,99,Movie,United States,English,6.3,15609,2018,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Love on the Spectrum,2019,\N,TV Show,Australia,English,8.5,3182,2021,teen,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Furie,2019,97,Movie,France,French,5.6,2313,2019,adult,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Badla,2019,118,Movie,India,Hindi,7.8,23814,2019,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Run On,2020,70,TV Show,South Korea,Korean,7.7,1420,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crime Scene: The Vanishing at the Cecil Hotel,2021,219,TV Show,United States,English,5.9,14500,2021,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fate/stay night: Unlimited Blade Works,2014,24,TV Show,Japan,Japanese,8.0,6531,2015,teen,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
La Révolution,2020,\N,TV Show,France,French,6.5,4715,2020,adult,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling Inn Love,2019,98,Movie,United States,English,5.6,16664,2019,children,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wet Hot American Summer: Ten Years Later,2017,216,TV Show,United States,English,6.9,7601,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Little Mermaid,2018,85,Movie,United States,English,4.2,8409,2018,children,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Girlboss,2017,26,TV Show,United States,English,7.0,15981,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingobernable,2017,40,TV Show,Mexico,Spanish,7.2,2793,2018,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Our Souls at Night,2017,103,Movie,United States,English,6.9,12077,2017,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Republic of Doyle,2010,60,TV Show,Canada,English,7.3,3476,2014,teen,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charité,2017,45,TV Show,Germany,German,7.8,2792,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Earthquake Bird,2019,107,Movie,United Kingdom,English,5.9,13068,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toradora!,2008,24,TV Show,Japan,Japanese,8.0,11501,2008,teen,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanderlust,2018,60,TV Show,United Kingdom,English,7.1,4695,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Girls Wanted: Turned On,2017,280,TV Show,United States,English,6.7,2017,2017,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equinox,2020,\N,TV Show,Denmark,Danish,6.1,5128,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Perfect Date,2019,89,Movie,United States,English,5.8,34495,2019,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aunty Donna's Big Ol' House of Fun,2020,20,TV Show,Australia,English,8.0,4997,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winx Club,2004,25,TV Show,Italy,English,6.1,4586,2015,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Degrassi: Next Class,2016,30,TV Show,Canada,English,6.9,2798,2017,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Father of the Year,2018,94,Movie,United States,English,5.2,10420,2018,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked,2017,96,Movie,United States,English,5.4,17954,2017,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Daily Life of the Immortal King,2020,\N,TV Show,China,Chinese,7.7,294,2020,teen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charming,2018,85,Movie,Canada,English,5.6,3057,2021,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jay,2016,80,Movie,United States,English,7.3,15424,2016,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Debt Collector,2018,95,Movie,United Kingdom,English,5.8,6386,2018,adult,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pets United,2019,89,Movie,Germany,English,3.8,2090,2020,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into the Forest,2015,101,Movie,Canada,English,5.8,19645,2015,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Message from the King,2016,102,Movie,United Kingdom,English,6.4,14755,2017,adult,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Tiny Lights,2016,110,Movie,United Kingdom,English,5.5,2111,2016,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Creep 2,2017,78,Movie,United States,English,6.5,21167,2017,adult,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Open House,2018,94,Movie,Canada,English,3.2,31999,2018,adult,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
La Mante,2017,52,TV Show,France,French,7.4,11870,2017,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OtherLife,2017,96,Movie,Australia,English,6.3,14687,2017,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mercy Black,2019,88,Movie,United States,English,4.9,2974,2019,teen,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Fast & Furious Spy Racers,2019,23,TV Show,United States,English,5.5,1070,2021,children,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icarus,2017,120,Movie,United States,English,7.9,41879,2017,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bard of Blood,2019,45,TV Show,India,Hindi,6.9,9194,2019,adult,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulbbul,2020,94,Movie,India,Hindi,6.6,10108,2020,adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Queer Eye,2018,45,TV Show,United States,English,8.5,15807,2020,teen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsolved,2018,60,TV Show,United States,English,7.9,6887,2018,adult,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Below: Tales of Arcadia,2018,24,TV Show,United States,English,7.7,4707,2019,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Man: Most Wanted,2019,105,Movie,United States,English,5.6,3294,2019,adult,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Why Did You Kill Me?,2021,83,Movie,United States,Spanish,5.6,3093,2021,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Memoirs of an International Assassin,2016,98,Movie,United States,English,5.9,21168,2016,teen,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Czars,2019,45,TV Show,United States,English,7.3,6758,2019,adult,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yeh Meri Family,2018,30,TV Show,India,Hindi,9.1,21366,2018,children,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sergio,2020,118,Movie,United States,English,6.1,8668,2020,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chewing Gum,2015,23,TV Show,United Kingdom,English,7.7,8059,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabula Rasa,2017,60,TV Show,Belgium,Dutch,8.0,8931,2017,adult,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hoops,2020,25,TV Show,United States,English,6.0,4650,2020,adult,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Watership Down,2018,204,TV Show,United Kingdom,English,7.2,5480,2018,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dawn Wall,2017,100,Movie,Austria,English,8.1,16359,2017,adult,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Coldest Game,2019,102,Movie,Poland,English,6.2,9142,2019,adult,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Chef's Table,2015,50,TV Show,United States,English,8.5,13888,2019,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roped,2020,91,Movie,United States,English,5.4,1081,2020,children,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hating Peter Tatchell,2021,91,Movie,Australia,English,7.5,244,2020,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Get Down,2016,52,TV Show,United States,English,8.3,21325,2017,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Windsors,2016,30,TV Show,United Kingdom,English,7.1,2313,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Am the Pretty Thing That Lives in the House,2016,89,Movie,Canada,English,4.6,13486,2016,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Zero Chill,2021,\N,TV Show,United Kingdom,English,5.7,1017,2021,children,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roohi,2021,134,Movie,India,Hindi,4.3,6357,2021,teen,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Attenborough: A Life on Our Planet,2020,83,Movie,United Kingdom,English,9.0,27666,2020,children,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moesha,1996,30,TV Show,United States,English,5.8,3352,2000,children,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Repair Shop,2017,30,TV Show,United Kingdom,English,8.7,1041,2018,children,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self Made: Inspired by the Life of Madam C.J. Walker,2020,191,TV Show,United States,English,7.3,9922,2020,adult,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kon-Tiki,2012,118,Movie,United Kingdom,Norwegian,7.2,46823,2012,teen,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reality Z,2020,30,TV Show,Brazil,Portuguese,5.4,2086,2020,adult,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen Sandiego,2019,22,TV Show,United States,English,7.9,4602,2021,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between,2015,60,TV Show,Canada,English,6.0,8481,2016,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Flowers,2016,30,TV Show,United Kingdom,English,8.2,4566,2018,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedians in Cars Getting Coffee,2012,20,TV Show,United States,English,8.1,11314,2019,teen,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Get Even,2020,28,TV Show,United Kingdom,English,6.5,1718,2020,children,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Debt Collector 2,2020,97,Movie,United States,English,5.8,3412,2020,adult,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Platform,2020,45,TV Show,United Arab Emirates,Arabic,7.0,213,2021,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ Masks,2015,24,TV Show,France,French,5.5,973,2019,children,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin, I Love You",2019,120,Movie,Germany,English,4.6,2719,2019,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50M2,2021,45,TV Show,Turkey,Turkish,7.0,4424,2021,adult,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mersal,2017,172,Movie,India,Tamil,7.8,29684,2017,teen,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Little Evil,2017,94,Movie,United States,English,5.7,19510,2017,adult,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,96,Movie,China,English,6.1,18293,2016,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under the Shadow,2016,84,Movie,United Kingdom,Persian,6.9,25227,2016,teen,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Murder Among the Mormons,2021,160,TV Show,United States,English,7.0,4511,2021,teen,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6 Years,2015,79,Movie,United States,English,5.6,11914,2015,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tallulah,2016,111,Movie,United States,English,6.7,18987,2016,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Creeped Out,2017,30,TV Show,United Kingdom,English,6.6,1500,2019,children,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Extracurricular,2020,50,TV Show,South Korea,Korean,7.7,3289,2020,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zero,2021,27,TV Show,Italy,Italian,5.6,913,2021,adult,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hurricane Heist,2018,103,Movie,United Kingdom,American Sign Language,5.1,19495,2018,teen,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A California Christmas,2020,106,Movie,United States,English,5.8,6793,2020,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Eddy,2020,\N,TV Show,United Kingdom,French,7.2,2561,2020,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
All Together Now,2020,92,Movie,United States,English,6.5,3357,2020,children,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Police,2020,242,TV Show,United States,English,6.0,3656,2020,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombay Begums,2021,50,TV Show,India,Hindi,4.9,3456,2021,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age of Samurai: Battle for Japan,2021,\N,TV Show,United States,Korean,7.4,2975,2021,adult,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kahaani,2012,122,Movie,India,Hindi,8.1,58997,2012,teen,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Last Breath,2019,90,Movie,United Kingdom,English,7.7,4374,2019,adult,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolly Parton's Heartstrings,2019,62,TV Show,United States,English,7.6,1863,2019,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fun Mom Dinner,2017,81,Movie,United States,English,5.3,5087,2017,adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girl,2018,105,Movie,Netherlands,French,7.1,12889,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirty Money,2018,60,TV Show,United States,English,8.1,8205,2020,adult,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Christmas Chronicles: Part Two,2020,112,Movie,United States,English,6.0,24065,2020,children,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Conversations with a Killer: The Ted Bundy Tapes,2019,236,TV Show,United States,English,7.8,25133,2019,adult,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stree,2018,128,Movie,India,Hindi,7.6,29824,2018,adult,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Virginia,2017,93,Movie,Canada,English,6.2,8999,2017,adult,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Princess Switch: Switched Again,2020,96,Movie,United States,English,5.4,8108,2020,children,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand Designs,1999,50,TV Show,United Kingdom,English,8.5,2768,2017,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greatest Events of WWII in Colour,2019,50,TV Show,United Kingdom,English,8.7,6564,2019,teen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pine Gap,2018,360,TV Show,Australia,English,7.2,4001,2018,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Good Cop,2018,60,TV Show,United States,English,7.0,5060,2018,teen,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask the StoryBots,2016,24,TV Show,United States,English,8.4,721,2019,children,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Other Side of the Wind,2018,122,Movie,France,English,6.8,6577,2018,adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
