type,title,release_year,movie_rating
Movie,The November Man,2014,adult
Movie,The Old Ways,2020,adult
Movie,The Water Man,2021,children
TV Show,Wheel of Fortune,2019,children
Movie,Count Me In,2021,adult
TV Show,Manifest,2021,teen
Movie,Sweet Girl,2021,adult
Movie,Like Crazy,2011,teen
Movie,Bombay,1995,teen
TV Show,Go! Go! Cory Carson,2021,children
Movie,Pahuna,2018,children
TV Show,Mother Goose Club,2016,children
Movie,Walk of Shame,2014,adult
TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,teen
TV Show,The Creative Indians,2020,adult
Movie,The Piano,1993,adult
TV Show,Winx Club,2015,children
Movie,Beckett,2021,adult
TV Show,Brand New Cherry Flavor,2021,adult
TV Show,Fast & Furious Spy Racers,2021,children
TV Show,Gone for Good,2021,adult
TV Show,Grace and Frankie,2021,adult
TV Show,The Kingdom,2021,adult
TV Show,Valeria,2021,adult
TV Show,AlRawabi School for Girls,2021,teen
Movie,Lokillo: Nothing's the Same,2021,adult
Movie,Monster Hunter: Legends of the Guild,2021,children
TV Show,Bake Squad,2021,children
Movie,Brother Jekwu,2016,teen
Movie,La diosa del asfalto,2020,adult
Movie,Misha and the Wolves,2021,teen
Movie,The Kissing Booth 3,2021,teen
Movie,The Railway Man,2013,adult
TV Show,Gabby's Dollhouse,2021,children
TV Show,Las muñecas de la mafia,2018,adult
TV Show,The Crowned Clown,2019,teen
Movie,Untold: Malice at the Palace,2021,adult
TV Show,SHAMAN KING,2021,teen
Movie,Quartet,2012,teen
Movie,Slay,2021,adult
Movie,The Paper Tigers,2021,teen
TV Show,Hit & Run,2021,adult
TV Show,Navarasa,2021,adult
Movie,Quam's Money,2020,adult
Movie,The Swarm,2021,teen
Movie,Vivo,2021,children
Movie,Chennai Express,2013,teen
Movie,City of God: 10 Years Later,2013,adult
Movie,Esperando la carroza,1985,adult
Movie,Lady Boss: The Jackie Collins Story,2021,teen
Movie,Tango Feroz,1993,adult
Movie,'76,2016,children
Movie,Aftermath,2021,adult
Movie,American Masters: Inventing David Geffen,2012,adult
TV Show,Cocaine Cowboys: The Kings of Miami,2021,adult
TV Show,Control Z,2021,adult
TV Show,Cooking With Paris,2021,adult
TV Show,Autumn's Concerto,2009,teen
Movie,Heavy,1995,adult
Movie,Ije: The Journey,2010,adult
TV Show,Office Girls,2011,teen
Movie,Pray Away,2021,teen
TV Show,The Prince Who Turns into a Frog,2005,teen
TV Show,Two Fathers,2013,teen
TV Show,You're My Destiny,2008,adult
TV Show,30 Rock,2012,teen
TV Show,44 Cats,2020,children
Movie,Beethoven,1992,children
Movie,Beethoven's 2nd,1993,children
Movie,Beowulf,2007,teen
Movie,Boyka: Undisputed,2016,adult
Movie,Catch Me If You Can,2002,teen
Movie,Cloudy with a Chance of Meatballs,2009,children
Movie,Deep Blue Sea,1999,adult
Movie,Ferris Bueller's Day Off,1986,teen
Movie,Five Feet Apart,2019,teen
Movie,Freedomland,2006,adult
Movie,Good Luck Chuck,2007,adult
TV Show,Hunter X Hunter (2011),2014,teen
Movie,Inception,2010,teen
Movie,Magnolia,1999,adult
Movie,Major Payne,1995,teen
Movie,My Girl,1991,teen
Movie,My Girl 2,1994,children
Movie,Open Season: Scared Silly,2015,children
Movie,Pineapple Express,2008,adult
Movie,Planet 51,2009,children
Movie,Poms,2019,teen
Movie,Seabiscuit,2003,teen
Movie,Space Cowboys,2000,teen
Movie,Team America: World Police,2004,adult
Movie,The Edge of Seventeen,2016,adult
Movie,The Haunting in Connecticut 2: Ghosts of Georgia,2013,adult
Movie,The Last Boy Scout,1991,adult
Movie,The Lincoln Lawyer,2011,adult
Movie,The Losers,2010,teen
Movie,The Machinist,2004,adult
Movie,The Net,1995,teen
Movie,The Original Kings of Comedy,2000,adult
Movie,Valentine's Day,2010,teen
TV Show,Charmed,2021,teen
Movie,Eyes of a Thief,2014,teen
TV Show,Glow Up,2021,teen
TV Show,Outer Banks,2021,adult
Movie,Flower Girl,2013,children
Movie,Bartkowiak,2021,adult
Movie,Fantastic Fungi,2019,teen
TV Show,The Flash,2021,teen
TV Show,All American,2021,teen
Movie,Department,2012,adult
TV Show,How to Sell Drugs Online (Fast),2021,adult
TV Show,Mighty Express,2021,children
Movie,The Operative,2019,adult
TV Show,The Walking Dead,2019,adult
TV Show,Wynonna Earp,2020,adult
Movie,Django Unchained,2012,adult
Movie,A Second Chance:  Rivals!,2021,children
TV Show,Sky Rojo,2021,adult
Movie,The Last Letter From Your Lover,2021,adult
TV Show,The Movies That Made Us,2021,adult
Movie,Chhota Bheem And The Broken Amulet,2013,children
Movie,Chhota Bheem aur Krishna,2009,children
TV Show,Chicago Med,2019,teen
Movie,Cousins,2021,adult
Movie,Sanitation Day,2020,teen
Movie,Milkwater,2020,adult
TV Show,Okupas,2020,adult
Movie,The Tambour of Retribution,2021,teen
Movie,Cosmic Sin,2021,adult
Movie,Deep,2021,adult
TV Show,Explained,2021,adult
TV Show,Johnny Test,2021,children
Movie,The Beguiled,2017,adult
Movie,The Book of Henry,2017,teen
Movie,The Twilight Saga: Breaking Dawn: Part 1,2011,teen
Movie,The Twilight Saga: Breaking Dawn: Part 2,2012,teen
Movie,The Twilight Saga: Eclipse,2010,teen
Movie,The Twilight Saga: New Moon,2009,teen
Movie,Twilight,2008,teen
Movie,A Perfect Fit,2021,children
TV Show,BEASTARS,2021,adult
TV Show,Her Private Life,2019,teen
Movie,Lift Like a Girl,2021,children
TV Show,Never Have I Ever,2021,teen
Movie,Surf's Up,2007,children
Movie,This Changes Everything,2019,adult
Movie,A Classic Horror Story,2021,adult
Movie,American Woman,2019,adult
TV Show,Ridley Jones,2021,children
Movie,Born to Play,2020,adult
Movie,American Ultra,2015,adult
TV Show,Atypical,2021,teen
TV Show,Biohackers,2021,adult
Movie,Ratchet and Clank,2016,children
TV Show,Virgin River,2021,teen
Movie,Back to Q82,2017,teen
Movie,Home Again,2017,teen
Movie,Midnight Sun,2018,teen
TV Show,RESIDENT EVIL: Infinite Darkness,2021,adult
Movie,Rock the Kasbah,2015,adult
Movie,Brick Mansions,2014,teen
TV Show,Dogs,2021,children
Movie,Tango With Me,2010,teen
